timestamp	cidade	latitude	longitude	temperatura	consumoKwh
2024-07-20 08:00:00	Belo Horizonte	-19.9167	-43.9333	15.0	380
2024-07-20 08:00:00	Contagem	-19.9322	-44.0539	14.5	375
2024-07-20 08:00:00	Betim	-19.9678	-44.1978	14.0	370
2024-07-20 08:00:00	Sabará	-19.8864	-43.8067	15.5	385
2024-07-20 08:00:00	Santa Luzia	-19.7697	-43.8514	15.0	380
2024-07-20 08:00:00	Nova Lima	-19.9856	-43.8467	14.5	375
2024-07-20 08:00:00	Ribeirão das Neves	-19.7669	-44.0867	14.0	370
2024-07-20 08:00:00	Ibirité	-20.0219	-44.0589	14.0	370
2024-07-20 08:00:00	Sete Lagoas	-19.4658	-44.2467	13.5	365
2024-07-20 08:00:00	Juiz de Fora	-21.7642	-43.3503	12.0	420
2024-07-20 08:00:00	Uberlândia	-18.9186	-48.2772	18.0	350
2024-07-20 08:00:00	Montes Claros	-16.7350	-43.8617	20.0	310
2024-07-20 08:00:00	Ipatinga	-19.4683	-42.5367	16.0	395
2024-07-20 08:00:00	Governador Valadares	-18.8511	-41.9494	17.0	380
2024-07-20 08:00:00	Ouro Preto	-20.3856	-43.5036	10.0	490
2024-07-20 08:00:00	Mariana	-20.3786	-43.4164	10.5	485
2024-07-20 08:00:00	Itabira	-19.6192	-43.2269	11.0	480
2024-07-20 08:00:00	Diamantina	-18.2458	-43.6031	6.0	600
2024-07-20 08:00:00	Tiradentes	-21.1102	-44.1781	8.0	540
2024-07-20 08:00:00	São João del-Rei	-21.1358	-44.2617	8.5	535
2024-07-20 08:00:00	Lavras	-21.2450	-45.0000	9.0	520
2024-07-20 08:00:00	Barbacena	-21.2214	-43.7703	7.5	550
2024-07-20 08:00:00	Conselheiro Lafaiete	-20.6603	-43.7856	9.5	510
2024-07-20 08:00:00	Varginha	-21.5514	-45.4303	8.0	540
2024-07-20 08:00:00	Poços de Caldas	-21.7878	-46.5614	8.0	520
2024-07-20 12:00:00	Belo Horizonte	-19.9167	-43.9333	18.0	360
2024-07-20 12:00:00	Contagem	-19.9322	-44.0539	17.5	355
2024-07-20 12:00:00	Betim	-19.9678	-44.1978	17.0	350
2024-07-20 12:00:00	Sabará	-19.8864	-43.8067	18.5	365
2024-07-20 12:00:00	Santa Luzia	-19.7697	-43.8514	18.0	360
2024-07-20 12:00:00	Nova Lima	-19.9856	-43.8467	17.5	355
2024-07-20 12:00:00	Ribeirão das Neves	-19.7669	-44.0867	17.0	350
2024-07-20 12:00:00	Ibirité	-20.0219	-44.0589	17.0	350
2024-07-20 12:00:00	Sete Lagoas	-19.4658	-44.2467	16.5	345
2024-07-20 12:00:00	Juiz de Fora	-21.7642	-43.3503	15.0	400
2024-07-20 12:00:00	Uberlândia	-18.9186	-48.2772	21.0	330
2024-07-20 12:00:00	Montes Claros	-16.7350	-43.8617	23.0	295
2024-07-20 12:00:00	Ipatinga	-19.4683	-42.5367	19.0	375
2024-07-20 12:00:00	Governador Valadares	-18.8511	-41.9494	20.0	360
2024-07-20 12:00:00	Ouro Preto	-20.3856	-43.5036	13.0	470
2024-07-20 12:00:00	Mariana	-20.3786	-43.4164	13.5	465
2024-07-20 12:00:00	Itabira	-19.6192	-43.2269	14.0	460
2024-07-20 12:00:00	Diamantina	-18.2458	-43.6031	9.0	580
2024-07-20 12:00:00	Tiradentes	-21.1102	-44.1781	11.0	520
2024-07-20 12:00:00	São João del-Rei	-21.1358	-44.2617	11.5	515
2024-07-20 12:00:00	Lavras	-21.2450	-45.0000	12.0	500
2024-07-20 12:00:00	Barbacena	-21.2214	-43.7703	10.5	530
2024-07-20 12:00:00	Conselheiro Lafaiete	-20.6603	-43.7856	12.5	490
2024-07-20 12:00:00	Varginha	-21.5514	-45.4303	11.0	520
2024-07-20 12:00:00	Poços de Caldas	-21.7878	-46.5614	11.0	500
2024-07-21 08:00:00	Belo Horizonte	-19.9167	-43.9333	14.0	390
2024-07-21 08:00:00	Contagem	-19.9322	-44.0539	13.5	385
2024-07-21 08:00:00	Betim	-19.9678	-44.1978	13.0	380
2024-07-21 08:00:00	Sabará	-19.8864	-43.8067	14.5	395
2024-07-21 08:00:00	Santa Luzia	-19.7697	-43.8514	14.0	390
2024-07-21 08:00:00	Nova Lima	-19.9856	-43.8467	13.5	385
2024-07-21 08:00:00	Ribeirão das Neves	-19.7669	-44.0867	13.0	380
2024-07-21 08:00:00	Ibirité	-20.0219	-44.0589	13.0	380
2024-07-21 08:00:00	Sete Lagoas	-19.4658	-44.2467	12.5	375
2024-07-21 08:00:00	Juiz de Fora	-21.7642	-43.3503	11.0	430
2024-07-21 08:00:00	Uberlândia	-18.9186	-48.2772	17.0	360
2024-07-21 08:00:00	Montes Claros	-16.7350	-43.8617	19.0	320
2024-07-21 08:00:00	Ipatinga	-19.4683	-42.5367	15.0	405
2024-07-21 08:00:00	Governador Valadares	-18.8511	-41.9494	16.0	390
2024-07-21 08:00:00	Ouro Preto	-20.3856	-43.5036	9.0	500
2024-07-21 08:00:00	Mariana	-20.3786	-43.4164	9.5	495
2024-07-21 08:00:00	Itabira	-19.6192	-43.2269	10.0	490
2024-07-21 08:00:00	Diamantina	-18.2458	-43.6031	5.0	610
2024-07-21 08:00:00	Tiradentes	-21.1102	-44.1781	7.0	550
2024-07-21 08:00:00	São João del-Rei	-21.1358	-44.2617	7.5	545
2024-07-21 08:00:00	Lavras	-21.2450	-45.0000	8.0	530
2024-07-21 08:00:00	Barbacena	-21.2214	-43.7703	6.5	560
2024-07-21 08:00:00	Conselheiro Lafaiete	-20.6603	-43.7856	8.5	520
2024-07-21 08:00:00	Varginha	-21.5514	-45.4303	7.0	550
2024-07-21 08:00:00	Poços de Caldas	-21.7878	-46.5614	7.0	530
2024-07-21 18:00:00	Belo Horizonte	-19.9167	-43.9333	12.0	410
2024-07-21 18:00:00	Contagem	-19.9322	-44.0539	11.5	405
2024-07-21 18:00:00	Betim	-19.9678	-44.1978	11.0	400
2024-07-21 18:00:00	Sabará	-19.8864	-43.8067	12.5	415
2024-07-21 18:00:00	Santa Luzia	-19.7697	-43.8514	12.0	410
2024-07-21 18:00:00	Nova Lima	-19.9856	-43.8467	11.5	405
2024-07-21 18:00:00	Ribeirão das Neves	-19.7669	-44.0867	11.0	400
2024-07-21 18:00:00	Ibirité	-20.0219	-44.0589	11.0	400
2024-07-21 18:00:00	Sete Lagoas	-19.4658	-44.2467	10.5	395
2024-07-21 18:00:00	Juiz de Fora	-21.7642	-43.3503	9.0	450
2024-07-21 18:00:00	Uberlândia	-18.9186	-48.2772	15.0	380
2024-07-21 18:00:00	Montes Claros	-16.7350	-43.8617	17.0	340
2024-07-21 18:00:00	Ipatinga	-19.4683	-42.5367	13.0	425
2024-07-21 18:00:00	Governador Valadares	-18.8511	-41.9494	14.0	410
2024-07-21 18:00:00	Ouro Preto	-20.3856	-43.5036	7.0	520
2024-07-21 18:00:00	Mariana	-20.3786	-43.4164	7.5	515
2024-07-21 18:00:00	Itabira	-19.6192	-43.2269	8.0	510
2024-07-21 18:00:00	Diamantina	-18.2458	-43.6031	3.0	630
2024-07-21 18:00:00	Tiradentes	-21.1102	-44.1781	5.0	570
2024-07-21 18:00:00	São João del-Rei	-21.1358	-44.2617	5.5	565
2024-07-21 18:00:00	Lavras	-21.2450	-45.0000	6.0	550
2024-07-21 18:00:00	Barbacena	-21.2214	-43.7703	4.5	580
2024-07-21 18:00:00	Conselheiro Lafaiete	-20.6603	-43.7856	6.5	540
2024-07-21 18:00:00	Varginha	-21.5514	-45.4303	5.0	570
2024-07-21 18:00:00	Poços de Caldas	-21.7878	-46.5614	5.0	550
